"time" "POP.S1" "POP.S2" "POP.S3" "POP.E1" "POP.E2" "POP.E3" "POP.A1" "POP.A2" "POP.A3" "POP.I1" "POP.I2" "POP.I3" "POP.H1" "POP.H2" "POP.H3" "POP.R1" "POP.R2" "POP.R3" "POP.D1" "POP.D2" "POP.D3" "POP.Sv1" "POP.Sv2" "POP.Sv3" "POP.Ev1" "POP.Ev2" "POP.Ev3" "POP.Av1" "POP.Av2" "POP.Av3" "POP.Iv1" "POP.Iv2" "POP.Iv3" "POP.Hv1" "POP.Hv2" "POP.Hv3" "POP.Rv1" "POP.Rv2" "POP.Rv3" "POP.Dv1" "POP.Dv2" "POP.Dv3" "POP.Sw1" "POP.Sw2" "POP.Sw3" "POP.Ew1" "POP.Ew2" "POP.Ew3" "POP.Aw1" "POP.Aw2" "POP.Aw3" "POP.Iw1" "POP.Iw2" "POP.Iw3" "POP.Hw1" "POP.Hw2" "POP.Hw3" "POP.Rw1" "POP.Rw2" "POP.Rw3" "POP.Dw1" "POP.Dw2" "POP.Dw3" "VAX"
"1" 0 8375588.98984994 19390389.8031044 5889017.29389153 138939.689572335 213210.830653627 37818.0125673964 181892.279260003 180937.564618909 20670.2366761431 89588.734560897 230284.173151339 46007.9461501251 249.306756825015 5319.36694017483 6688.08571898084 3379000 6830952.26153157 1272778.42499583 0 0 0 0 0 500 0 0 0 0 0 0 0 0 0 0 0 0 0 0 500 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1311586.93009301
"2" 1 8352733.69938978 19340150.6170717 5879016.76445848 137926.773652405 225592.526303273 38070.164127943 177883.484096444 177464.187017704 20227.0804494528 87614.2533609352 225863.510749806 45021.5661616854 243.826529026534 5218.87769017219 6545.43222912151 3408855.63643381 6876718.46954465 1279863.52039414 1.32653760556398 85.8116227111804 332.304917785815 0 0 3705.49837773617 0 0 0.127401324025919 0 0 0.00340685398610722 0 0 0.00340700909314709 0 0 0.000885514068667247 0 0 1197.53377605823 0 0 0.0000068930231407838 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1463825.06403316
"3" 2 8330068.28007333 19289811.7607735 5744473.57840715 136900.209135229 236105.585414146 38212.0582612307 174184.608677378 175163.126319294 19839.9219172053 85792.4191993053 222934.888042738 44159.8262028119 238.795212797811 5155.42624165412 6422.08890524662 3438072.06288256 6921752.91372935 1259561.38203055 2.62481939657053 170.299479372092 657.946154228393 0 0 131515.521956386 0 0 12.208152870263 0 0 0.322547465771656 0 0 0.322562150692946 0 0 0.0838707323275329 0 0 29124.7384832637 0 0 0.000548704803595282 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1464216.33437453
"4" 3 8307568.97310332 19239328.0692717 5609913.38505181 135883.926743837 245087.243194866 38203.4107578154 170762.976861969 173791.384137989 19496.3348366634 84107.1378573877 221189.034357441 43395.0678622508 234.162301193156 5121.03466353638 6313.59130061739 3466697.9260118 6966323.23461077 1238885.92866774 3.89712049599338 253.999763686153 977.782199974165 0 0 259457.637623256 0 0 44.8010514774167 0 0 2.25467930966692 0 0 2.25478196056861 0 0 0.585196010035966 0 0 57286.9587270992 0 0 0.00726400880245974 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1464216.33437453
"5" 4 8285215.72689634 19188666.857068 5475654.04361399 134894.672171015 252809.903535894 38071.8418868659 167591.544625875 173152.971430399 19185.5374422469 82545.0891440878 220376.509093235 42703.2930166141 229.886223068989 5109.30521291319 6216.09538958031 3494776.93547029 7010641.12165944 1217920.92972306 5.14546932801059 337.332000089471 1292.45840296504 0 0 387209.71929249 0 0 94.7789844000711 0 0 6.99249134788252 0 0 6.99280970160086 0 0 1.81148962420599 0 0 85615.4716598478 0 0 0.0337972588049538 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1464216.33437453
"6" 5 8262991.56118629 19137805.4168809 5341693.79393391 133943.724999675 259493.691623461 37839.327184705 164647.623539273 173089.846491732 18899.0058004742 81095.0981611345 220296.168262204 42065.5290397653 225.932322071967 5115.1115386931 6126.58341200398 3522348.68810154 7054873.14301921 1196676.21033665 6.37169001469541 420.622183812665 1602.44856627512 0 0 514770.613484386 0 0 159.54026838779 0 0 15.3973308750021 0 0 15.3980318837402 0 0 3.98152135244438 0 0 114112.071155761 0 0 0.0999335725928982 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1464216.33437453
"7" 6 8240882.07619146 19086729.0734791 5208032.21985133 133038.214206476 265316.518817019 37523.3482757731 161911.901449619 173474.595384333 18630.006006348 79747.6529527976 220785.848670969 41466.7875625166 222.271304879206 5134.34972992431 6042.69021249368 3549449.30645952 7099149.49251136 1175158.45322177 7.57743524015496 504.121407323757 1908.09194200611 0 0 642138.907006303 0 0 236.916541949908 0 0 28.0686326412219 0 0 28.0699105482117 0 0 7.24503973993738 0 0 142778.966036361 0 0 0.229760223024555 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1464216.33437453
"8" 7 8218875.05484913 19035429.6173536 5074669.9683685 132182.139431503 270422.198983904 37137.8251323531 159367.693662635 174204.528286108 18373.2236836503 78494.5356845813 221714.854182319 40895.2398119959 218.878053413133 5163.73794208823 5962.56597761057 3576111.93410698 7143571.04242932 1153371.85048096 8.76421175580091 588.020822688 2209.62241561832 0 0 769312.976858189 0 0 325.094696798263 0 0 45.3997446547134 0 0 45.4018116115108 0 0 11.6978588225189 0 0 171618.682931767 0 0 0.450227472120872 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1464216.33437453
"9" 8 8196960.13878034 18983904.0413672 4941608.52584718 131377.163459912 274927.006477505 36693.8566104639 157000.37061905 175196.909010494 18124.4700725796 77328.5407526663 222977.884195174 40341.5624196128 215.730715764606 5200.654856082 5884.7675901309 3602367.12227198 7188215.04041608 1131318.62056478 9.93340029667226 672.463677515788 2507.19156438509 0 0 896291.029397026 0 0 422.55329965352 0 0 67.6228380734946 0 0 67.6259168019297 0 0 17.3939426395342 0 0 200633.989910011 0 0 0.790026658164338 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1464216.33437453
"10" 9 8175128.56340526 18932153.5219193 4808850.03977857 130623.225100535 278924.972797402 36200.3083832093 154796.921836044 176385.102352155 17880.4490438337 76243.2600087977 224490.130266379 39798.4188395008 212.810012339248 5243.00954843077 5808.17272058038 3628243.13336581 7233139.70812997 1108999.41784451 11.0862712141564 757.554986333862 2800.88685738376 0 0 1023071.13082985 0 0 528.010735718014 0 0 94.8449639355414 0 0 94.8492820312574 0 0 24.355061536646 0 0 229827.836936637 0 0 1.27872270673966 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1464216.33437453
