"time" "POP.S1" "POP.S2" "POP.S3" "POP.E1" "POP.E2" "POP.E3" "POP.A1" "POP.A2" "POP.A3" "POP.I1" "POP.I2" "POP.I3" "POP.H1" "POP.H2" "POP.H3" "POP.R1" "POP.R2" "POP.R3" "POP.D1" "POP.D2" "POP.D3" "POP.Sv1" "POP.Sv2" "POP.Sv3" "POP.Ev1" "POP.Ev2" "POP.Ev3" "POP.Av1" "POP.Av2" "POP.Av3" "POP.Iv1" "POP.Iv2" "POP.Iv3" "POP.Hv1" "POP.Hv2" "POP.Hv3" "POP.Rv1" "POP.Rv2" "POP.Rv3" "POP.Dv1" "POP.Dv2" "POP.Dv3" "POP.Sw1" "POP.Sw2" "POP.Sw3" "POP.Ew1" "POP.Ew2" "POP.Ew3" "POP.Aw1" "POP.Aw2" "POP.Aw3" "POP.Iw1" "POP.Iw2" "POP.Iw3" "POP.Hw1" "POP.Hw2" "POP.Hw3" "POP.Rw1" "POP.Rw2" "POP.Rw3" "POP.Dw1" "POP.Dw2" "POP.Dw3" "VAX"
"1" 0 8375588.98984994 19390389.8031044 5889017.29389153 138939.689572335 213210.830653627 37818.0125673964 181892.279260003 180937.564618909 20670.2366761431 89588.734560897 230284.173151339 46007.9461501251 249.306756825015 5319.36694017483 6688.08571898084 3379000 6830952.26153157 1272778.42499583 0 0 0 0 0 500 0 0 0 0 0 0 0 0 0 0 0 0 0 0 500 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1311586.93009301
"2" 1 8352733.69903304 19340150.6160269 5877733.06236672 137926.773990126 225592.527292495 38070.0664747937 177883.484108802 177464.187041019 20227.0802797793 87614.2533670217 225863.510779478 45021.565784025 243.826529044956 5218.87769091728 6545.43216928677 3408855.63643435 6876718.46954645 1279584.17026373 1.32653760559053 85.8116227148895 332.304917736061 0 0 4988.57082978558 0 0 0.817228141127607 0 0 0.0125180942237432 0 0 0.0275373761973713 0 0 0.00437953520743278 0 0 1476.88517970296 0 0 0.0000712898119717077 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1626210.27981225
"3" 2 8330068.24797152 19289811.6667289 5692097.85534725 136900.239775237 236105.675181249 38182.7819389907 174184.609630045 175163.128123293 19839.4450334621 85792.4196685296 222934.890338736 44158.7647518997 238.795214218399 5155.4262993416 6421.92105273788 3438072.06292105 6921752.91384888 1248112.08438256 2.62481939843343 170.29947961669 657.943946481085 0 0 183832.364228157 0 0 96.9475794205719 0 0 1.61969417201495 0 0 3.56301262334869 0 0 0.566889674191944 0 0 40574.1344183101 0 0 0.00772426109101518 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1728257.06147273
"4" 3 8307568.73150951 19239327.3621173 5506438.08347012 135884.148486689 245087.89228705 38095.2546965874 170762.989549901 173791.408160048 19492.9142261406 84107.1441066675 221189.064930971 43387.4542452808 234.16232008747 5121.03543069416 6312.3896323145 3466697.92690661 6966323.23730472 1216169.12779655 3.89712053923319 253.999769181618 977.750704212252 0 0 362704.864861155 0 0 356.515673899939 0 0 11.4057588678024 0 0 25.0904544370221 0 0 3.98455826763681 0 0 80005.0595441863 0 0 0.104377972031917 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1829748.90725374
"5" 4 8285214.91882338 19188664.4940415 5321208.16875956 134895.385038307 252811.987948579 37842.9268118541 167591.604219718 173153.084510362 19174.8862089185 82545.1184962791 220376.653013188 42679.5854327541 229.886311689633 5109.30881990063 6212.36065269181 3494776.94164099 7010641.13962989 1183864.91496789 5.14546962565058 337.332036623963 1292.3102553781 0 0 541146.663615206 0 0 754.471497138916 0 0 35.418523444461 0 0 77.9138730714783 0 0 12.3501320795911 0 0 119677.542080952 0 0 0.487189060763299 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1931240.75303475
"6" 5 8262989.64459984 19137799.817649 5136408.83864645 133945.351600826 259498.443129871 37454.2625207115 164647.801170443 173090.183057371 18875.5334205216 81095.1856511136 220296.596618472 42013.284065032 225.932585835724 5115.12225809077 6118.36831512864 3522348.71270074 7054873.21495722 1151205.03528671 6.37169119989845 420.622329938226 1602.00915232059 0 0 719153.258972691 0 0 1269.98602693818 0 0 78.0198757962092 0 0 171.628574787157 0 0 27.1547030192432 0 0 159601.178457646 0 0 1.44198224305573 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2032732.59881575
"7" 6 8240878.31915068 19086718.1082737 4952042.44557051 133041.284696589 265325.478746272 36952.1310640043 161912.313064245 173475.374528793 18587.2249321672 79747.8556883594 220786.840309373 41371.5651715979 222.271915212258 5134.37450953645 6027.74438625088 3549449.37804623 7099149.70180038 1118191.31792211 7.57743868516118 504.121831951322 1907.08067807283 0 0 896719.512425507 0 0 1885.71126541742 0 0 142.239909377356 0 0 312.90017671979 0 0 49.4170099763681 0 0 199787.392877213 0 0 3.31661107791861 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2134224.44459676
"8" 7 8218868.53133566 19035410.5971547 4768112.65278737 132187.278360814 270437.178818348 36354.9369533554 159368.50623456 174206.064741475 18304.0676735819 78494.9359065744 221716.809670968 40741.3119186179 218.879256594018 5163.78673795779 5938.44867584969 3576112.10468583 7143571.54104336 1084822.62955616 8.76421995515674 588.021833181713 2207.64047760714 0 0 1073839.77949363 0 0 2587.15239700204 0 0 230.061683824495 0 0 506.091024946877 0 0 79.7870028165372 0 0 240248.940245219 0 0 6.5001100144971 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2235716.29037777
"9" 8 8196949.72533614 18983873.7106452 4584624.18972068 131385.077829251 274950.05088521 35677.5217675591 157001.806510347 175199.621625572 18021.5418265189 77329.2479827083 222981.336614364 40112.4640654775 215.732839006164 5200.74088794164 5848.93466992362 3602367.47608526 7188216.0735728 1051095.49971069 9.93341728418825 672.465768900123 2503.71459953177 0 0 1250508.00646362 0 0 3362.15664518432 0 0 342.650079236871 0 0 753.763629459507 0 0 118.628715208895 0 0 280999.521640916 0 0 11.4064660016826 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2337208.13615877
"10" 9 8175112.93652615 18932108.0537256 4401582.66364076 130634.693511756 278958.324775295 34931.8839139364 154799.261597274 176389.520616775 17736.2112215408 76244.4124285081 224495.753512259 39477.3733640748 212.813467563393 5243.14949503849 5758.04312085196 3628243.79616574 7233141.63898482 1017004.60789346 11.0863030004948 757.558890242927 2795.26152358465 0 0 1426717.7991509 0 0 4200.49638863004 0 0 480.535423550919 0 0 1057.08460872472 0 0 166.086445035198 0 0 322053.491221406 0 0 18.4620835394046 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2438699.98193978
