"time" "POP.S1" "POP.S2" "POP.S3" "POP.E1" "POP.E2" "POP.E3" "POP.A1" "POP.A2" "POP.A3" "POP.I1" "POP.I2" "POP.I3" "POP.H1" "POP.H2" "POP.H3" "POP.R1" "POP.R2" "POP.R3" "POP.D1" "POP.D2" "POP.D3" "POP.Sv1" "POP.Sv2" "POP.Sv3" "POP.Ev1" "POP.Ev2" "POP.Ev3" "POP.Av1" "POP.Av2" "POP.Av3" "POP.Iv1" "POP.Iv2" "POP.Iv3" "POP.Hv1" "POP.Hv2" "POP.Hv3" "POP.Rv1" "POP.Rv2" "POP.Rv3" "POP.Dv1" "POP.Dv2" "POP.Dv3" "POP.Sw1" "POP.Sw2" "POP.Sw3" "POP.Ew1" "POP.Ew2" "POP.Ew3" "POP.Aw1" "POP.Aw2" "POP.Aw3" "POP.Iw1" "POP.Iw2" "POP.Iw3" "POP.Hw1" "POP.Hw2" "POP.Hw3" "POP.Rw1" "POP.Rw2" "POP.Rw3" "POP.Dw1" "POP.Dw2" "POP.Dw3" "VAX"
"1" 0 8375588.98984994 19390389.8031044 5889017.29389153 138939.689572335 213210.830653627 37818.0125673964 181892.279260003 180937.564618909 20670.2366761431 89588.734560897 230284.173151339 46007.9461501251 249.306756825015 5319.36694017483 6688.08571898084 3379000 6830952.26153157 1272778.42499583 0 0 0 0 0 500 0 0 0 0 0 0 0 0 0 0 0 0 0 0 500 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1311586.93009301
"2" 1 8352733.69900116 19340150.6159316 5702694.45820347 137926.77402419 225592.52741339 37972.4263221694 177883.484105372 177464.187015598 20225.5286216462 87614.2533653326 225863.510747125 45018.1120933417 243.826529039434 5218.87769004127 6544.88598662878 3408855.63643729 6876718.46957944 1241594.79772202 1.32653760574151 85.8116227860944 332.297955963563 0 0 180027.115661534 0 0 98.5135485610941 0 0 1.5649311441263 0 0 3.48323383692629 0 0 0.550852151789948 0 0 39466.2578290367 0 0 0.00703849914556383 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1155445.95747886
"3" 2 8330068.24415145 19289811.6555382 5516812.33723046 136900.24342318 236105.685860962 37914.3493886667 174184.609742988 175163.128344294 19829.5275125864 85792.4197241583 222934.89062001 44136.6902699504 238.795214386962 5155.42630643083 6418.43792173247 3438072.06292444 6921752.91385053 1210015.49644666 2.62481939859477 170.299479618863 657.846453018179 0 0 359110.812072688 0 0 372.043185644271 0 0 11.6350025470619 0 0 25.8972637337829 0 0 4.08759459564606 0 0 78670.7338584918 0 0 0.105799230713257 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 999304.656277313
"4" 3 8307568.70248724 19239327.2771685 5331367.68988007 135884.175129811 245087.970266115 37682.8291824374 170762.991072176 173791.411053121 19468.3621182878 84107.144856445 221189.068613064 43332.8060052212 234.162322354661 5121.03552312546 6303.78804021336 3466697.92701143 6966323.23760626 1178054.03096104 3.89712054429367 253.999769794435 977.35735363684 0 0 537747.800578662 0 0 793.452777295169 0 0 36.6466842089159 0 0 81.5684261424257 0 0 12.8503224657265 0 0 118120.312082148 0 0 0.505588177239041 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 843163.355075764
"5" 4 8285214.82157506 19188664.2096513 5146359.46205265 134895.470856372 252812.238987443 37308.9848864666 167591.611368624 173153.097982606 19131.2094284588 82545.1220173818 220376.67015968 42582.3693730212 229.88632231927 5109.3092493991 6197.09715736228 3494776.94239058 7010641.1419283 1145718.59617286 5.14546966183848 337.332041308598 1291.32278792293 0 0 715934.072564673 0 0 1340.30449256289 0 0 81.2349624422337 0 0 180.813303500456 0 0 28.4326602790201 0 0 157824.588808516 0 0 1.51134929251039 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 687022.053874216
"6" 5 8262989.41379762 19137799.1433199 4961788.56915212 133945.547581574 259499.016223485 36817.6424309757 164647.822459817 173090.222865518 18809.6519843786 81095.196136925 220296.647283387 41866.6447394235 225.932617439547 5115.12352449104 6095.40217587444 3522348.71571527 7054873.22443399 1113013.24478211 6.37169134533504 420.622349265694 1600.06491168888 0 0 893664.844903173 0 0 1993.98445160626 0 0 148.616002003116 0 0 330.790456071451 0 0 51.9221904101535 0 0 197795.126971514 0 0 3.49484865599017 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 530880.752672668
"7" 6 8240877.86668913 19086716.7876948 4777657.51323154 133041.654555243 265326.558464881 36228.6325397839 161912.362561935 173475.467841742 18497.1692312561 79747.8800678189 220786.959071308 41171.1186115055 222.271988600474 5134.37747619421 5996.42794728093 3549449.38669817 7099149.72756682 1079938.76192944 7.57743910166085 504.121884282988 1903.77500359892 0 0 1070934.72323266 0 0 2738.99679685377 0 0 240.89375096685 0 0 536.182865055247 0 0 84.0125391260582 0 0 238044.920145104 0 0 6.87217583487913 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 374739.451471119
"8" 7 8218867.745808 19035408.3069164 4596906.62275479 132187.897063061 270438.981255042 35558.0565392379 159368.604216455 174206.250934395 18188.7355165509 78494.9841663134 221717.046643775 40484.6048594199 218.879401691996 5163.79265373483 5898.43892092642 3576112.12512355 7143571.59964484 1047161.98292425 8.76422093722877 588.021951820086 2202.54414853649 0 0 1244801.28482282 0 0 3562.15761514235 0 0 359.304936482057 0 0 799.743245718126 0 0 125.092566989811 0 0 277919.344867395 0 0 12.0862817471623 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 222203.559121049
"9" 8 8196948.47141367 18983870.0584922 4526537.06665052 131386.030708868 274952.824080961 34884.2953238578 157001.979567875 175199.949687803 17881.5809949585 77329.3332199982 222981.754148113 39800.9383436174 215.733094922697 5200.7512954338 5800.50184659294 3602367.51857534 7188216.19627829 1039171.00513415 9.93341932388026 672.466017167201 2496.3923053727 0 0 1308261.92104309 0 0 4386.94197039014 0 0 503.336057343398 0 0 1120.32864376434 0 0 174.937604480754 0 0 292941.165572663 0 0 19.5885092073204 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 204830.874537023
"10" 9 8175111.05478933 18932102.578555 4464743.60327606 130636.074556173 278962.34155012 34269.5828830834 154799.543281722 176390.052108578 17577.3753461674 76244.5511686091 224496.429956372 39123.8354479211 212.813883531574 5243.16632844478 5703.24539984154 3628243.87601381 7233141.87213976 1032912.43804207 11.0863068299966 757.559361731517 2785.33380802173 0 0 1363120.97249524 0 0 5152.18438607894 0 0 668.444862603035 0 0 1487.82888772934 0 0 231.914018258465 0 0 306173.459520324 0 0 29.7816266104949 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 197831.02862174
